Plant Name Unit Number,NRC Reactor Unit Web Page ,Docket  Number,NRC Region,Licensee,Reactor and Containment Type,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"McGuire Nuclear Station, Unit 1",McGuire 1,5000369,2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,23-Feb-73,8-Jul-81,1-Dec-81,5-Dec-03,12-Jun-41,3411,,82%,82%,105%,94%,92%,104%,87%,,93%,85%,103%
"McGuire Nuclear Station, Unit 2",McGuire 2,5000370,2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,23-Feb-73,27-May-83,1-Mar-84,5-Dec-03,3-Mar-43,3411,,94%,95%,82%,91%,104%,94%,90%,,89%,103%,94%
"Millstone Power Station, Unit 2",Millstone 2,5000336,1,"Dominion Nuclear Conneticut, Inc.",PWR-DRYAMB,CE,BECH,BECH,11-Dec-70,26-Sep-75,26-Dec-75,28-Nov-05,31-Jul-35,2700,,85%,95%,83%,87%,97%,81%,86%,,88%,98%,80%
"Millstone Power Station, Unit 3",Millstone 3,5000423,1,"Dominion Nuclear Conneticut, Inc.",PWR-DRYSUB,WEST 4LP,S&W,S&W,9-Aug-74,31-Jan-86,23-Apr-86,28-Nov-05,25-Nov-45,3650,,87%,87%,100%,87%,86%,105%,88%,,86%,88%,101%
"Monticello Nuclear Generating Plant, Unit 1",Monticello,5000263,3,Northern States Power Company - Minnesota,BWR-MARK 1,GE 3,BECH,BECH,19-Jun-67,9-Jan-81,30-Jun-71,8-Nov-06,8-Sep-30,2004,"AEC issued a provisional OL on 09/08/1970, allowing commercial operation. The NRC issued a full-term OL on 01/09/1981.",78%,50%,101%,69%,94%,83%,97%,,89%,101%,92%
"Nine Mile Point Nuclear Station, Unit 1",Nine Mile Point 1,5000220,1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 1,GE 2,NIAG,S&W,12-Apr-65,26-Dec-74,1-Dec-69,31-Oct-06,22-Aug-29,1850,"AEC issued a provisional OL on 08/22/1969, allowing commercial operation. The NRC issued a full-term OL on 12/26/1974.",98%,88%,87%,84%,97%,92%,98%,,85%,92%,80%
"Nine Mile Point Nuclear Station, Unit 2",Nine Mile Point 2,5000410,1,"Nine Mile Point Nuclear Station, LLC",BWR-MARK 2,GE 5,S&W,S&W,24-Jun-74,2-Jul-87,11-Mar-88,31-Oct-06,31-Oct-46,3988,,87%,99%,83%,95%,89%,99%,90%,,100%,86%,96%
"North Anna Power Station, Unit 1",North Anna 1,5000338,2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,19-Feb-71,1-Apr-78,6-Jun-78,20-Mar-03,1-Apr-38,2940,,100%,89%,89%,78%,86%,92%,101%,,95%,91%,81%
"North Anna Power Station, Unit 2",North Anna 2,5000339,2,Virginia Electric & Power Co.,PWR-DRYSUB,WEST 3LP,S&W,S&W,19-Feb-71,21-Aug-80,14-Dec-80,20-Mar-03,21-Aug-40,2940,,92%,85%,99%,76%,100%,100%,82%,,87%,92%,90%
"Oconee Nuclear Station, Unit 1",Oconee 1,5000269,2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,6-Nov-67,6-Feb-73,15-Jul-73,23-May-00,6-Feb-33,2568,,91%,91%,90%,79%,100%,85%,84%,,91%,98%,71%
"Oconee Nuclear Station, Unit 2",Oconee 2,5000270,2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,6-Nov-67,6-Oct-73,9-Sep-74,23-May-00,6-Oct-33,2568,,101%,82%,102%,93%,91%,103%,86%,,90%,76%,102%
"Oconee Nuclear Station, Unit 3",Oconee 3,5000287,2,"Duke Energy Carolinas, LLC",PWR-DRYAMB,B&W LLP,DBDB,DUKE,6-Nov-67,19-Jul-74,16-Dec-74,23-May-00,19-Jul-34,2568,,92%,97%,86%,103%,91%,94%,102%,,98%,77%,85%
Oyster Creek Nuclear Generating Station,Oyster Creek,5000219,1,"Exelon Generation Co., LLC",BWR-MARK 1,GE 2,B&R,B&R,15-Dec-64,2-Jul-91,1-Dec-69,8-Apr-09,9-Apr-29,1930,"AEC issued a provisional OL on 04/09/1969, allowing commercial operation. The NRC issued a full-term OL on 07/02/1991.",90%,106%,88%,98%,85%,92%,83%,,99%,89%,97%
